x,y,token
-29.653614,-33.865753,talk
15.973377,-42.12983,Where
-50.710888,-15.126342,merit
11.530177,-15.066172,proud
-29.421068,-35.160526,guess
-33.116184,-30.853016,_that_
-31.845493,-41.8485,can
-26.984222,-15.4446945,known
0.20398359,-20.923052,triumph
-24.615276,-25.84011,cleverer
-29.778713,-27.946512,depend
-21.925041,-2.4567428,merely
-24.691599,-33.334694,luck
-16.86617,-31.642933,There
23.634594,6.899106,talent
39.817074,-27.182184,word
-32.090645,-32.364185,quarrel
-51.245396,-16.847193,claim
-6.4237967,37.06241,drawn
-17.717756,6.5908194,pictures
-29.310621,23.203611,something
-25.536684,-26.124996,nothing
18.4295,-46.37981,If
-55.0054,11.005567,visits
32.201027,-16.423058,given
-7.928354,28.902355,smoothed
-39.23803,-23.977976,matters
-33.159985,-26.99179,enough
-45.09245,-25.334562,comprehend
-16.408464,42.90667,open
-39.73832,-17.03153,hearted
-41.41781,-17.028337,unaffected
-27.273804,-29.322273,safely
-29.527454,-34.959473,manage
-50.014023,-24.103758,likely
-36.485397,-33.3433,harm
-45.928516,-24.698124,interference
-37.541847,28.893524,rejoined
17.842604,-24.82255,understanding
30.021952,-40.44799,pray
-32.276527,-27.859713,silly
28.889675,-0.13314307,break
-13.7225485,39.212086,circle
25.829552,-7.7674384,grievously
29.170736,-35.10545,Only
-57.083763,17.22088,Elton
-40.684147,24.256138,",--"
-16.187704,-28.17225,look
-6.781161,5.8939414,whole
-32.61672,0.9755709,fitted
-53.155796,3.9383786,comfortably
22.426004,-22.650713,shame
-48.025963,-27.838318,longer
-3.6549103,20.190672,joining
24.10182,13.540921,hands
-37.610897,19.427877,same
42.484116,-2.1943989,service
24.556683,-29.919838,shew
-54.767075,-8.719158,attention
-28.114014,-34.50409,ask
-26.535398,-38.3037,dare
18.92771,21.583534,With
-37.968273,33.19613,laughing
-19.126284,39.375553,fish
-19.02505,-14.82045,chicken
-40.7813,-30.358238,chuse
-29.599306,-27.944012,Depend
55.924038,15.292113,six
-24.112932,-34.23952,care
-18.25669,-53.94946,II
-13.3496,7.9871163,native
47.204277,-21.4592,born
-46.17976,-12.105963,respectable
41.57862,-3.562787,generations
17.050627,43.560337,rising
-42.847435,-13.8747635,gentility
-46.46113,-7.500629,property
-37.3926,-12.01943,received
-50.39759,-12.017729,education
-30.083035,-6.651042,succeeding
-13.478868,27.365376,small
10.654472,-24.710459,become
-44.089256,-6.1067743,indisposed
-5.406234,-7.6523147,homely
-41.057285,-5.889411,pursuits
-50.748005,12.886735,brothers
-53.312443,4.1003847,engaged
-40.012756,-25.090435,satisfied
-49.95465,-11.286974,active
-41.87878,1.819863,social
48.87108,-1.9711202,entering
-15.269289,-7.660941,militia
-10.56244,29.091095,county
-3.7519429,2.964044,embodied
-53.743896,16.441015,Captain
-21.884052,1.3724517,general
-47.1686,0.9541191,favourite
-22.008629,13.730962,military
-55.557697,13.437181,introduced
-56.625446,17.069355,Churchill
-29.469576,-18.566046,Yorkshire
47.98208,-6.5987782,fell
15.814554,-25.889828,love
-36.28519,-31.20401,surprized
-24.581045,-22.85755,except
22.8701,8.098872,full
5.1042185,-21.016876,pride
-50.475433,-12.9022045,importance
-49.739132,-13.212439,connexion
-37.880318,-30.662186,offend
23.224873,-30.321405,command
-6.1612034,27.828459,bore
-46.95573,-12.565926,proportion
-47.022415,-7.3117914,estate
44.098957,-1.606636,took
6.1282063,-14.936528,infinite
-55.305782,-7.37676,mortification
-15.873702,53.352425,threw
-47.643448,-5.769749,due
-34.280872,-5.119706,decorum
-31.97068,-12.081049,unsuitable
-45.706722,-11.356052,produce
-35.86831,-32.38819,ought
16.287825,-9.126915,whose
-58.972446,-7.6074257,warm
33.741306,29.036152,sweet
12.982013,-34.025517,return
